"track","category","method","config_id","runs","mean_runtime_sec","sd_runtime_sec","mean_sample_access","mean_memory_mb","mean_abs_error_mean","mean_abs_error_coef","mean_ci_cover_mean","mean_ci_cover_coef","mean_ci_width_mean","mean_ci_width_coef","mean_mse","mean_r2","stability_mean_sd","stability_coef_sd","stability_mse_sd"
"Empirical","Distributed","One-step","K10",8,0.268240958452225,0.0209065124327001,602500,0.0009765625,0,1.19493304140406e-12,1,1,0.0856707299434589,0.00699340977770468,23.6639317475177,0.917425951689734,0,6.79976676594345e-14,2.32579705080119e-15
"Empirical","Distributed","SAE","K20",8,0.324031502008438,0.0182807176039025,6e+05,0.00128173828125,0,0.000572515594181755,1,1,0.079393302908052,0.0360376438991945,23.6639390538079,0.917425926194818,0,0.000423990839807578,9.45311162192604e-06
"Empirical","Distributed","SAE","K5",8,0.23122850060463,0.020795801894451,6e+05,0.000823974609375,4.44089209850063e-16,0.000148708269411879,1,1,0.0809354387945884,0.032719098003,23.6639323022513,0.917425949754021,1.3427995533605e-15,0.000183368971340374,9.09082409987803e-07
"Empirical","Hybrid","BLB->One-step","A",8,7.3641844689846,0.315597226620685,13903300,0.00936126708984375,0,1.09728892638827e-12,1,1,0.0856707299434589,0.00699340977770468,23.6639317475177,0.917425951689734,0,5.85998267406212e-14,2.32579705080119e-15
"Empirical","Hybrid","One-step->SGD","B",8,1322.48610475659,38.8723063198631,17402500,18.3112106323242,0,0.0608543025280782,1,0.25,0.0856707299434589,0.00702338697404004,23.8677864992272,0.916714611228837,0,0.0765336823262866,0.245594270528855
"Empirical","Hybrid","Stratified-SGD->Aggregate","C",8,514.893619537354,97.9839719937201,2.4e+07,0.00079345703125,0,NA,1,NA,0.0856707299434589,NA,NA,NA,0,NA,NA
"Empirical","Mini-batch","SGD","bs256",8,918.329027473927,10.9020842703578,2.4e+07,18.3112106323242,0,0.122679646016385,1,0,0.0856707299434589,0.00714313448403725,24.7205940351301,0.913738784074653,0,0.234281422031719,1.99219488850337
"Empirical","Mini-batch","SGD","bs64",8,4031.80941337347,615.091403173308,2.4e+07,18.3112106323242,0,0.0929245531324384,1,0,0.0856707299434589,0.00711198436685256,24.4774724411787,0.914587144121429,0,0.116229121182309,0.69296210304386
"Empirical","Subsampling","BLB","g0.7_s10_B120",8,9.26263815164566,0.681687270805334,13300800,0.00936126708984375,0.0330271199018117,0.0171418694151989,1,1,0.880595887385335,0.281331971476582,23.6639317475177,0.917425951689734,0.0363645053341592,0.0191918455120076,0
"Empirical","Subsampling","SRS","frac0.05",8,0.00961136817932129,0.00526782261940402,30000,1.37496948242188,0.0745132916666664,0.0388224172137143,1,0,0.380545587815438,0.0312588314429922,23.6897967987455,0.917335696950479,0.0928342728151891,0.0431652312240912,0.0175495646655783
"Empirical","Subsampling","Stratified","frac0.10",8,0.0185321271419525,0.00972551918971478,60000,2.97791290283203,0.0623156375000016,0.0256840085172357,0.875,0.125,0.270847399140239,0.0221414734637996,23.6803452067643,0.917368677784822,0.0569195295930212,0.0302816930765039,0.0104062581437176
"Simulation","Distributed","One-step","K10",8,0.0826802253723145,0.0041518524324869,42500,0.00171661376953125,0,0.00568635713521051,1,1,0.0372733252017756,0.0256276943184266,1.09042459649679,0.69847566901714,0,4.55829274744901e-16,0
"Simulation","Distributed","SAE","K20",8,0.107121050357819,0.0514350950923906,40000,0.00240325927734375,0,0.00562531204089724,1,1,0.0374050835698784,0.0292220118479068,1.09042599647857,0.69847528189402,0,0.000757894351820873,7.79761249357905e-07
"Simulation","Distributed","SAE","K5",8,0.0475494563579559,0.00457996635612592,40000,0.001373291015625,1.66533453693773e-16,0.00553714367665006,1,1,0.0388164243474444,0.0277115290070079,1.09042498813917,0.698475560720143,2.90724631350149e-16,0.00041756351761409,2.42828309261937e-07
"Simulation","Hybrid","BLB->One-step","A",8,8.16263338923454,0.282692677476547,2040500,0.00936126708984375,0,0.00568635713520731,1,1,0.0372733252017756,0.0256276943184266,1.09042459649679,0.69847566901714,0,2.18043473512611e-16,0
"Simulation","Hybrid","One-step->SGD","B",8,10.0140156149864,2.18423967635696,1162500,2.74760437011719,0,0.00430673894930547,1,1,0.0372733252017756,0.0256327662857768,1.09085627728722,0.698356300596845,0,0.00482621973530761,0.000367214395357239
"Simulation","Hybrid","Stratified-SGD->Aggregate","C",8,3.23203077912331,0.251260527321975,1600000,0.00130462646484375,0,0.0849897087233976,1,1,0.0372733252017756,2.56122794868398,1.31549546950562,0.636239046122037,0,0.00525386055993828,0.00306940004088994
"Simulation","Mini-batch","SGD","bs256",8,9.24466863274574,0.145706624261889,1600000,2.74760437011719,0,0.00687201452380626,1,1,0.0372733252017756,0.0256289527611266,1.09053169221379,0.698446054897536,0,0.00330468207379969,0.000120927481280387
"Simulation","Mini-batch","SGD","bs64",8,28.755957365036,5.33296142000341,1600000,2.74760437011719,0,0.00959492797908551,1,0.625,0.0372733252017756,0.0256360602326714,1.09113666179397,0.698278768641781,0,0.0087339666627175,0.000398657469127712
